Ionic Liquid,T0_1s,lnA,Ea(kJ/mol),Cations,Anions,SMILES,conductivity(S/m)
1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(4-methoxyphenyl)borate,182.6919259,5.594376346,8.25547789,1-butyl-3-methyl-1H-imidazol-3-ium,trifluoro(4-methoxyphenyl)borate,CCCCN1C=C[N+](=C1)C|[B-](C1=CC=C(C=C1)OC)(F)(F)F,0.049498617
1-butyl-3-methyl-1H-imidazolium (S)-2-amino-3-carboxypropanoate,172.3448,3.874651027,6.902515089,1-butyl-3-methyl-1H-imidazolium,(S)-2-amino-3-carboxypropanoate,CCCC[NH+]1CN(C=C1)C|C([C@@H](C(=O)[O-])N)C(=O)O.C([C@@H](C(=O)[O-])N)C(=O)O,0.075
1-butyl-3-methylimidazolium L-serinate,114.0439336,11.97407762,26.8100033,1-butyl-3-methylimidazolium,L-serinate,CCCCn1cc[n+](C)c1|C(C(C(=O)[O-])N)O,0.00395
1-butyl-3-methylimidazolium acetate,203.3093328,4.133056187,5.611902077,1-butyl-3-methylimidazolium,acetate,CCCCn1cc[n+](C)c1|CC(=O)[O-],0.049
1-butyl-3-methylimidazolium bis(fluorosulfonyl)imide,160.7852758,4.378635756,5.241276048,1-butyl-3-methylimidazolium,bis(fluorosulfonyl)imide,CCCCn1cc[n+](C)c1|N(S(=O)(=O)F)S(=O)(=O)F,0.816
1-butyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide,170.0136719,4.203700502,6.521855336,1-butyl-3-methylimidazolium,bis(perfluoroethylsulfonyl)imide,CCCCn1cc[n+](C)c1|C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,0.15
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,154.3167507,4.631947521,6.647433031,1-butyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCCn1cc[n+](C)c1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.401
1-butyl-3-methylimidazolium diacetoxydifluoroborate,189.55051,4.836716333,6.471510938,1-butyl-3-methylimidazolium,diacetoxydifluoroborate,CCCCn1cc[n+](C)c1|[B-](OC(=O)C)(OC(=O)C)(F)F,0.09661
1-butyl-3-methylimidazolium dicyanamide,176.2239772,4.543239694,4.523843679,1-butyl-3-methylimidazolium,dicyanamide,CCCCn1cc[n+](C)c1|C(#N)[N-]C#N,1.438
1-butyl-3-methylimidazolium difluorobis(trifluoroacetato)borate,173.0535904,4.129534614,4.934980809,1-butyl-3-methylimidazolium,difluorobis(trifluoroacetato)borate,CCCCn1cc[n+](C)c1|[B-](OC(=O)C(F)(F)F)(OC(=O)C(F)(F)F)(F)F,0.5439
1-butyl-3-methylimidazolium difluoromono(malonato)borate,190.9958604,4.919621221,5.867318971,1-butyl-3-methylimidazolium,difluoromono(malonato)borate,CCCCn1cc[n+](C)c1|[B-]1(OC(=O)CC(=O)O1)(F)F,0.1886
1-butyl-3-methylimidazolium difluoromono(oxalato)borate,188.5821151,4.787601556,5.472440796,1-butyl-3-methylimidazolium,difluoromono(oxalato)borate,CCCCn1cc[n+](C)c1|[B-]1(OC(=O)C(=O)O1)(F)F,0.2976
1-butyl-3-methylimidazolium dihydrogen phosphate,159.4060363,3.273617423,4.78034725,1-butyl-3-methylimidazolium,dihydrogen phosphate,CCCCn1cc[n+](C)c1|OP(=O)(O)[O-],0.419
1-butyl-3-methylimidazolium glycinate,189.1992505,6.364670562,10.66062834,1-butyl-3-methylimidazolium,glycinate,CCCCn1cc[n+](C)c1|C(C(=O)[O-])N,0.004496704
1-butyl-3-methylimidazolium glycolate,200.4203364,5.046455704,6.731500424,1-butyl-3-methylimidazolium,glycolate,CCCCn1cc[n+](C)c1|C(C(=O)[O-])O,0.039233714
1-butyl-3-methylimidazolium hexafluoroantimonate,172.3448,4.102304851,5.68190758,1-butyl-3-methylimidazolium,hexafluoroantimonate,CCCCn1cc[n+](C)c1|F[Sb-](F)(F)(F)(F)F,0.273
