Name,SMILES,Cation_SMILES,Anion_SMILES,Reduction Potential (V),Oxidation Potential (V),ECW (V)
n-octadecyl pyridinium hexafluorophosphate,CCCCCCCCCCCCCCCCCC[n+]1ccccc1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCCCCCC[n+]1ccccc1,F[P-](F)(F)(F)(F)F,0.176495519998352,4.568990879999146,4.392495360000794
1-methyl-3-octadecylimidazolium tris(pentafluoroethyl)trifluorophosphate,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-1.390452959999894,-4.44,-3.0495470400001063
1-methyl-3-octadecylimidazolium tetrafluoroborate,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,-1.390452959999894,3.808310239999682,5.198763199999576
1-methyl-3-octadecylimidazolium hexafluorophosphate,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,-1.390452959999894,4.568990879999146,5.9594438399990395
1-methyl-3-octadecylimidazolium bis(nonafluorobutanesulfonyl)imide,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-1.390452959999894,2.113089279995037,3.503542239994931
1-octadecyl-3-methylimidazolium tetrafluoroborate,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,-1.93195328000169,3.808310239999682,5.740263520001372
1-octadecyl-3-methylimidazolium hexafluorophosphate,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,-1.93195328000169,4.568990879999146,6.500944160000836
3-methyl-1-octadecyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1.93195328000169,2.363283040000678,4.295236320002368
1-octadecyl-3-methylimidazolium trifluoromethanesulfonate,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,-1.93195328000169,2.288967200001534,4.220920480003224
1-octadecyl-3-methylimidazolium chloride,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1,[Cl-],-1.93195328000169,-0.7622934400004309,1.1696598400012592
