Name,SMILES,Melting_Point_Average(K)
1-sec-butyl-3-methylimidazolium perfluorobutylsulfonate,CCC(C)n1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,315.15
triethylamylammonium bis((trifluoromethyl)sulfonyl)imide,CCC(CC)(CC)CCCC[NH3+].O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,248.15
triethylamylphosphonium bis((trifluoromethyl)sulfonyl)imide,CCC(CC)(CC)CCCC[PH3+].O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,290.15
4-Benzyl-4-methylmorpholinium 2-ethylbutyrate,CCC(CC)C(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,298.15
(buten-1-yl)triethylphosphonium bis(trifluoromethylsulfonyl)amide,CCC=C[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,322
(buten-1-yl)triethylphosphonium 4-nitropyrazolide,CCC=C[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,312
N-butyronitrile pyridinium tetrafluoroborate,CCCC#N.F[B-](F)(F)F.c1cc[nH+]cc1,334.55
N-butyronitrile pyridinium hexafluorophosphate,CCCC#N.F[P-](F)(F)(F)(F)F.c1cc[nH+]cc1,371.15
N-butyronitrile pyridinium bis((trifluoromethyl)sulfonyl)imide,CCCC#N.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.c1cc[nH+]cc1,208.65
N-butyronitrile pyridinium chloride,CCCC#N.[Cl-].c1cc[nH+]cc1,358.25
Dimethyl-diethylammonium Butyrate,CCCC(=O)[O-].CC[N+](C)(C)CC,356
choline butanoate,CCCC(=O)[O-].C[N+](C)(C)CCO,315.98
Tetraethylammonium pentanoate,CCCCC(=O)[O-].CC[N+](CC)(CC)CC,323.15
1-Butyl-3-methylimidazolium bis(2-ethylhexyl)sulfosuccinate,CCCCC(CC)CC(CC(CC)CCCC)(C(=O)[O-])C(C(=O)[O-])S(=O)(=O)O.CCCCn1cc[n+](C)c1.CCCCn1cc[n+](C)c1,254.15
"1-butyl-3-methyl-1H-imidazolium 1,4-bis((2-ethylhexyl)oxy)-1,4-dioxobutane-2-sulfonate",CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CCCCn1cc[n+](C)c1,254.2
N-(2-ethylhexyl)ethylenediammonium trifluoroacetate,CCCCC(CC)C[NH2+]CC[NH3+].O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,286.05
"1-methyl-3-(9Z,12Z)-9,12-octadecadien-1-yl-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCC/C=C\C/C=C\CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,226.4
"1-butyl-1',2,2',3,3',4,4',5-octamethylferrocenium bis(trifluoromethylsulfonyl)amide",CCCCC1C(C)=C(C)C(C)=C1C.Cc1c[c-](C)c(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Fe+2],307.55
4-Benzyl-4-methylmorpholinium hexanoate,CCCCCC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,298.15
lead(2+) diheptanoate,CCCCCCC(=O)[O-].CCCCCCC(=O)[O-].[Pb+2],374.7
"1-hexyl-1',2,2',3,3',4,4',5-octamethylferrocenium bis(trifluoromethylsulfonyl)amide",CCCCCCC1C(C)=C(C)C(C)=C1C.Cc1c[c-](C)c(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Fe+2],300.85
mercury (II) octoate,CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Hg+2],387.2
Butylammonium octanoate,CCCCCCCC(=O)[O-].CCCC[NH3+],258.15
